Turno,Sol,Hora,Cenário,Score Saúde (%),Baterias (%),Evento,Diagnóstico,Ações Recomendadas
21,4,16:00:00,1,83,84.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
22,4,20:00:00,1,83,83.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
23,4,00:00:00,1,82,81.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
24,4,04:00:00,1,82,80.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
25,5,08:00:00,1,82,81.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
26,5,12:00:00,1,83,82.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
27,5,16:00:00,1,83,83.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
28,5,20:00:00,1,82,81.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
29,5,00:00:00,1,82,80.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
30,5,04:00:00,1,81,78.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
31,6,08:00:00,1,81,79.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
32,6,12:00:00,1,82,81.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
33,6,16:00:00,1,82,82.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
34,6,20:00:00,1,82,80.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
35,6,00:00:00,1,81,79.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
36,6,04:00:00,1,81,77.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
37,7,08:00:00,1,81,78.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
38,7,12:00:00,1,82,80.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
39,7,16:00:00,1,82,81.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
40,7,20:00:00,1,81,79.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
41,7,00:00:00,1,81,78.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
42,7,04:00:00,1,80,76.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
43,8,08:00:00,1,81,77.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
44,8,12:00:00,1,81,79.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
45,8,16:00:00,1,82,80.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
46,8,20:00:00,1,81,78.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
47,8,00:00:00,1,80,77.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
48,8,04:00:00,1,80,75.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
49,9,08:00:00,1,80,76.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
50,9,12:00:00,1,81,78.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
51,9,16:00:00,1,81,79.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
52,9,20:00:00,1,81,77.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
53,9,00:00:00,1,80,76.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
54,9,04:00:00,1,79,74.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
55,10,08:00:00,1,80,75.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
56,10,12:00:00,1,80,77.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
57,10,16:00:00,1,81,78.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
58,10,20:00:00,1,80,76.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
59,10,00:00:00,1,80,75.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
60,10,04:00:00,1,79,73.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
61,11,08:00:00,1,79,74.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
62,11,12:00:00,1,80,76.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
63,11,16:00:00,1,80,77.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
64,11,20:00:00,1,80,75.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
65,11,00:00:00,1,79,74.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
66,11,04:00:00,1,79,72.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
67,12,08:00:00,1,79,73.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
68,12,12:00:00,1,80,75.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
69,12,16:00:00,1,80,76.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
70,12,20:00:00,1,79,74.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
71,12,00:00:00,1,79,73.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
72,12,04:00:00,1,78,71.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
73,13,08:00:00,1,79,72.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
74,13,12:00:00,1,79,74.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
75,13,16:00:00,1,80,75.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
76,13,20:00:00,1,79,73.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
77,13,00:00:00,1,78,72.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
78,13,04:00:00,1,78,70.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
79,14,08:00:00,1,78,71.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
80,14,12:00:00,1,79,73.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
81,14,16:00:00,1,79,74.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
82,14,20:00:00,1,79,72.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
83,14,00:00:00,1,78,71.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
84,14,04:00:00,1,77,69.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
85,15,08:00:00,1,78,70.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
86,15,12:00:00,1,78,72.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
87,15,16:00:00,1,79,73.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
88,15,20:00:00,1,78,71.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
89,15,00:00:00,1,78,70.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
90,15,04:00:00,1,77,68.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
91,16,08:00:00,2,67,68.0,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
92,16,12:00:00,2,67,68.0,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
93,16,16:00:00,2,67,67.5,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
94,16,20:00:00,2,66,66.0,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
95,16,00:00:00,2,65,64.0,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
96,16,04:00:00,2,64,61.5,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
97,17,08:00:00,2,63,59.5,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
98,17,12:00:00,2,63,57.5,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
99,17,16:00:00,2,62,55.5,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
100,17,20:00:00,2,61,53.5,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
101,17,00:00:00,2,60,52.0,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
102,17,04:00:00,2,60,50.5,tempestade_areia,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Atenção: Desvios operacionais detectados. Nível de alerta amarelo. Revisar parâmetros.
103,18,08:00:00,2,53,49.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
104,18,12:00:00,2,53,49.5,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
105,18,16:00:00,2,53,49.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
106,18,20:00:00,2,53,48.0,tempestade_areia,"{'energia': 'alerta', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'crítico', 'suporte_medico': 'normal'}",-> Ajuste de Carga: Monitorar baterias de perto.
